M:org.apache.commons.math3.filter.KalmanFilter:getErrorCovarianceMatrix() (I)org.apache.commons.math3.linear.RealMatrix:copy()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.filter.MeasurementModel:getMeasurementNoise()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:add(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:operate(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:subtract(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (O)org.apache.commons.math3.linear.CholeskyDecomposition:<init>(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.CholeskyDecomposition:getSolver()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:transpose()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.DecompositionSolver:solve(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:transpose()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:operate(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:add(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:getRowDimension()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (S)org.apache.commons.math3.linear.MatrixUtils:createRealIdentityMatrix(int)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:subtract(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.DefaultMeasurementModel:<init>(double[][],double[][]) (O)org.apache.commons.math3.linear.Array2DRowRealMatrix:<init>(double[][])
M:org.apache.commons.math3.filter.DefaultMeasurementModel:<init>(double[][],double[][]) (O)org.apache.commons.math3.linear.Array2DRowRealMatrix:<init>(double[][])
M:org.apache.commons.math3.filter.DefaultMeasurementModel:<init>(double[][],double[][]) (O)org.apache.commons.math3.filter.DefaultMeasurementModel:<init>(org.apache.commons.math3.linear.RealMatrix,org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.DefaultMeasurementModel:<init>(org.apache.commons.math3.linear.RealMatrix,org.apache.commons.math3.linear.RealMatrix) (O)java.lang.Object:<init>()
